sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
"CL4D35=?+F3#W0DY3('9('",15703970000120,SIM,JULIO CESAR SILVA TRANSPORTADORA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,BAIXA,SIM,NAO,NAO
"PBVS6'%'CLH.?U9%CA/T;.",16626528000100,SIM,DOMINGOS RODRIGUES PALITO TOMAZ MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"FE'M-[)MP!&@X.00]4Q&K)",15236611000100,SIM,R E DA SILVA DIOGO,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"JYK0@U73%NWU-R]O+!Q'>0",8440012000220,NAO,JAIR SGOB,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"H!;IZ>/FPR4R88E%*I;2'""",7349767000250,NAO,COOPERATIVA DE CONSUMO DOS PARTICIPANTES DA ASSOCIACAO PRO VIDA,2143,COOPERATIVA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
IY8TUD^8EIE[]/<@?[V;9-,8760447000170,SIM,JOAO MANSANO MARTINS E OUTROS,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"N*>3FJ[-[?][)R&QN/MM\,",15232764000180,SIM,FERNANDO BARCELLOS,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"O8,=?*:QZ7C""<YH/EZ:D&0",15601291000140,SIM,MARTA MARIA CALTABIANO,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
N@CTKZX31$?#&J2PFW/X-(,2394647000170,SIM,OSWALDO GABRIEL MORUNGABA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,BAIXA,SIM,NAO,NAO
"PU3A(3X^]1Z,-[F[E).9_$",9462500000110,SIM,C M PEREIRA DIAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
OC)RBS8G5NN/WA6T^YW1.-,11606067000190,SIM,LUIZ HENRIQUE GEHLEN MEI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
GUS+&*[0\./U]$H[`7[#V+,1163650000110,SIM,IGREJA PRESBITERIANA DO PARQUE DAS NACOES,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
IR86::.8EN.3SS=K+[<>.%,13444313000180,SIM,CAIO MACEDO SOUZA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"MW_SUIC'%.'=VV(5L6P/V!",58419607000190,SIM,VILLELA & MARTINS CONSTRUCAO E EMPREENDIMENTOS IMOBILIARIOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
"L6YV\84>(T6=OF2>1'IMY%",10642198000160,SIM,M A DE MOURA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"KI'($W.W6-#:41F\V/=/V*",4965450000170,SIM,F & D COMUNICACOES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
I9Y=$L$+?2W@>11PC6Z9/!,10370610000130,SIM,EHECUSA CONSTRUTORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"N1JY^1`0+I=`(V$M^""J-9+",1440372000100,SIM,CARTORIO DE REG CIVIL DAS PESSOAS NATURAIS TRINDADE,3034,SERVICO NOTARIAL E REGISTRAL CARTORIO,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"O<E,1=^4\ZK\E>!0`C1@--",1417681000150,SIM,SOCIEDADE DE CAVALHEIROS SANTA BARBARA,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"AQ%_SX=I%\LDM(Z=Y@-NO'",42834143000220,NAO,DISTRIBUIDORA MINEIRA DE UNIFORMES PROFISSIONAIS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"H/K2T/>DB(F$!,$(Y&LPB'",5248796000110,SIM,DENERP AGENTES AUTONOMOS DE INVESTIMENTOS LTDA ME SS,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"F/]PLO!1N*RD>L((B9Z<!'",22691349000150,SIM,CLUBE DE MAES DOS EXCEPCIONAIS DE CARATINGA,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"K3A]V7!O<DNVT^[B^'<VE!",7720137000160,SIM,JOSEFA PEREIRA CESAR FLORICULTURA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,NAO,NAO
"HM$IJ$&75C6?IFP8,LX[E+",3480501000100,SIM,R V TEIXEIRA MERCEARIA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
A\S$1A.@AX!I;!#7[;8D.0,97531897000200,NAO,AGF COMERCIAL E IMPORTADORA SA,2054,SOCIEDADE ANONIMA FECHADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"C9K&K-38:C?EPWL6V''HU.",74110800000100,SIM,C R M MOREIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"K,>I*EU7':RM@KHF^IA/5+",5453491000140,SIM,J M E AGRIPINO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
E6%S-#C>RT4F@?RL5Z8Q9!,14260170000110,SIM,CLEICIBELE GOMES DA COSTA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,AMARELO,INATIVA,SIM,NAO,NAO
F>4&6O]10(6OSM_!\1>TB+,14307232000100,SIM,JORGE RICARDO BABY MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"G6<H0TMG6Y#*+5,U5XD(-+",13117417000180,SIM,QUALITY COMERCIO DE ARTIGOS DE PAPELARIA E INFORMATICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
E[?GOP-)XLBQ94SBA!QL[0,61139556000310,NAO,SCORRO INDUSTRIA E COMERCIO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,MUITO BAIXA,SIM,NAO,NAO
"H6RLY2@PY_/'D%=6`R>^$0",16921081000100,SIM,FERNANDO HENRIQUE ALVES CAIRES MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"AOB,-&T#""QX3W'T3?$I!'!",2344249000140,SIM,DALVA MANSAN RANQUETAT ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,LARANJA,INATIVA,SIM,NAO,NAO
"ET<:=M1;LQG:\!,W`*R0W+",9641413000200,NAO,OSNY SALOMAO,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"B`7>\RY0^!R'['`*7R)4K""",9521081000140,SIM,NAJUA TALITA PONTES DE HOLANDA MODAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,NAO
"G/4Z=S`YWX6#4%&\>>""O>,",14564189000150,SIM,COMISSAO PROVISORIA DO PARTIDO TRABALHISTA NACIONAL PTN,3271,ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO,ATIVA,PUBLICO,AMARELO,MEDIA,SIM,NAO,NAO
AT+/CVNT74-O8SRAA6KV!&,8493131000160,SIM,CLOVIS VITOR SANTANA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"K<+C$*#,A@E@E-ZNM7%Z\&",9479653000170,SIM,MARIA YVONE RODRIGUES BREDA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"PU>;[+R.VQQ]V!<4YG""%7(",8161385000180,SIM,MARIO PERES,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"JZO'Z2G7:0PTC/@(+T(N8*",8345350000100,SIM,RICA PADARIA CONFEITARIA E RESTAURANTE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,BAIXA,SIM,NAO,NAO
N%P-ZME(6#P*`$!.*Q6Z=%,7337149000100,SIM,CONSTRUPAULO PARTICIPACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"J0UM0JJQQ.Z""""F-#K+6(F'",8628655000110,SIM,FINA FESTA BY ELIZ EVENTOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"I]7XH`\!M`IGXE`M6T_OD""",7088567000100,SIM,LUCIO FERNANDO DONIZETI DE ALMEIDA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
"P(&/""1.5TNN<D\1!I->>.-",14372027000110,SIM,MARLENE GUILHERME DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,SIM
DF/^Y>?T_ZX<I;]I90A;=-,14366979000120,SIM,DIOGO SIQUIERI DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
FH3T(0TSM)+Q2/LYMJS*1.,16722700000120,SIM,FLAVIA CESARIO DE SOUSA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
P^.=*3ID!HYY.2844OH[Z%,96256805000170,SIM,MALUE MODA INFANTIL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"OP*M8LQ:C'R2'DRZX-[BB*",95628665000150,SIM,LUIZ GONZAGA BUENO,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IQ$7WZKU+45""A,$@YODZ!""",85286839000190,SIM,DALSIMAR COMERCIO DE EMBALAGENS PLASTICAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IY@6S91[IIQ>KEO;`7.89(,92046366000110,SIM,VITORIO CECCONELLO SACCARDO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"L(.+8T2MZ]TA;PT-V5B9""!",84489996000300,NAO,BRASIL & MOVIMENTO SA,2054,SOCIEDADE ANONIMA FECHADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B$<G!F-.6ZO'1-""9I9Z?-$",29836152000100,SIM,ELETRONICA STUDIO 25 LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"L8<+.8Y<*HQMD9JB,Q>TZ)",61661864000220,NAO,SPORT GINASIUN ARTIGOS ESPORTIVOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O""#-9[]76&XQ)C?.+I3-P(",60882628002990,NAO,CONFAB INDUSTRIAL SOCIEDADE ANONIMA,2054,SOCIEDADE ANONIMA FECHADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"N`B6\WZ1+8UHY/'R1KQTF,",24293045000160,SIM,MARCOS JOANE DA COSTA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"M`3IR+8R&RPVUJEGZCT('/",21189253001440,NAO,LATICINIOS BOA NATA INDUSTRIA E COMERCIO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BX=`8&R)=/X;7:HFG%$L8$,59770578000170,SIM,SEBASTIANA BATISTA DE ALMEIDA RIO PRETO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"N^=WF+>(_2I#2MS;QA[0O'",26815381000150,SIM,RAIMUNDO VALDO BEZERRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
F;)*/MNJRA@$&Q5RQ]%6S(,52903580000120,SIM,PAULO ROBERTO MONTEIRO PINDAMONHANGABA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JT\H^'.I&.E9ME3P=*<36/",32185134000110,SIM,MCO VIAGENS E TURISMO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O;A[[+5C@LTEAT&=(*'K;/",56150931000120,SIM,BAR E MERCEARIA MONTE FUJI LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
PLOG7ITF*ZL##+JX+1/@=(,54147897000100,SIM,EDSON DE OLIVEIRA BEIJINHO,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B.R/WMN<Q[""%-E?S[`1A/!",77915858000100,SIM,F H MAKDESI YACOUB CONFECCOES,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
PU014\_T)MY:6PJ#`N#!^$,75395939000100,SIM,ELETRONICA SOLLAR LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"GN-E)X2\`,!HQV>$2G6D##",67944397000140,SIM,JUVENAL ANTONIO BARROS SANTOS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"MF_2CRFE)M;1\1Q)?3-9>'",67155002000120,SIM,EMILIO FERNANDES,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
HZ)5]T^Q&LZ4F8F%K5X`[.,80119670000160,SIM,ESTER KOCHELLA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
D!<_\OPN[[3+ZW(J.`SX?0,35989037000250,NAO,RIO NEGRO CONSULTORIA INTERNACIONAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B0;$RV!0YM!>!=@&S,S!^.",38058764000100,SIM,SHOP DIET PRODUTOS HOSPITALARES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
GOZZ14M4-#7MFIN@_V>A-.,39937842000100,SIM,PEZA INDUSTRIA E COMERCIO DE CALCADOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E26<&FZ>3:1;-*03?BC.%""",33490368001610,NAO,HUDDERSFIELD COMERCIO DE TECIDOS EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"ITO!^=C,!9MT_+M_!H?%%#",33372251014700,NAO,IBM BRASIL INDUSTRIA MAQUINAS E SERVICOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JW\;:\'PAQV;3';Y!!R4G$",91195123000180,SIM,RONI L MULLER,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
C`[-I])Z\FLG(Z>9W.$)8&,98038771004240,NAO,TRANSPORTADORA TRESMAIENSE LTDA MASSA FALIDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IW\>5W74<W4[LSPDYANG^#,85181717000130,SIM,COMERCIO DE MATERIAIS DE CONSTRUCAO LS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JMV7X,7MN5%$]K9VTE7>4%",96040019000130,SIM,ZUHEIR WADIE BISHARA BADRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"J#C2VY&VZ&0KYU`^3;J,P,",94131455000190,SIM,SELM FESTAS E DECORACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
B3T%%+I9S)D8W0*WU]@3A#,89128961000190,SIM,MAREL IND E COM DE MARMORES E REVESTIMENTOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K[>TS&H*71BU#W5@U[>'_(",96633623000170,SIM,V A BERTOLI VIEIRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O,*>B;D?-NVR1R!2#9K4.'",86423290000100,SIM,MARIA LUCIMAR MENEZES ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"ORF_'K@KZ8)H,`.\U.YPF'",25459124000160,SIM,ARQUIVAR ARQUIVOLOGIA E SISTEMAS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
OUE!DTS`LHMXU3SOJEHYZ&,47011721000160,SIM,JOSE CARLOS RAGONHA LTDA SC,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"DOG.VN;_3GM;,I9'96@GZ&",18729863000160,SIM,FRANCELINO ANTONIO VIEIRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"CF!OECV@U5:1/[;,-""<,D%",58752049000180,SIM,CONSTRUTORA SILVA ANDRADE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IPQY.,$O""3_-U,DZ=F]JA""",27655711000150,SIM,CONNAUGHT AID CENTER VACINAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
FFC$J0`LB+[*_3K[E$@\C),55396626000150,SIM,ADMILSON PEDRO DA SILVEIRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"D\/(VNV_"")4?A9S14*6=A!",50538792000120,SIM,A ELEGANTE ROUPAS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
I%)09J\S\%MQ4MHHN?=8`(,51625895000190,SIM,ROBERTO MARTINHO FERREIRA IMOVEIS,4014,EMPRESA INDIVIDUAL IMOBILIARIA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
NP(M@O=G+/(??YA9@C1N8(,60036894000100,SIM,BAR E EMPORIO PALHARINI LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
LQLDVI-O`NU@RGIR8%=;^-,20564837000170,SIM,ASSOCIACAO DOS FOTOGRAFOS AMADORES DE MONTES CLAROS,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"PVK9)BRY/(""2!S0H$W;RB,",29750478000110,SIM,A DE ALMEIDA ARTEFATOS DE PLASTICO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"BO138B@_C]DV/)2R^AT+""%",19417401000170,SIM,JOSE ALVES QUINTILIANO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"EU@""=#%#@?V$(U8S,;:_,.",31794282000170,SIM,LUBRIL CENTRO LUBRIFICANTES COMERCIO E REP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F@`%?""0@9DP.0M.'/9ZM%""",27381227000180,SIM,ERLITA HENRIQUES COUTINHO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I5X)0=NT8O)7O`[""RQXV00",55632939000160,SIM,EDNALDO MATOS DOS SANTOS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JS^DM(I+QV,;BG3#<DI(L&",54119383000140,SIM,CAMPESTRE COMERCIO E REPRESENTACAO DE PROD AGROP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I7;LA8%?9Q4+LB*(`Z1*'""",31048341000160,SIM,TROCOS SEM TRACAS ANTIGUIDADES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"NN0MBX\Z7X'B&K4+'OGWN!",49760226000180,SIM,BENEDITO DE PAULA SALVATTO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
K5#1V?C4(7C#5#`I_[._&(,53652004000110,SIM,VIVALDO DO AMARAL LEITE,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"M[I5H,X,G#.*D=1""QMJG]*",60550472000140,SIM,NUCLEO DE RECREACAO INFANTIL AQUARELA LTDA SC,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K0I(E*?$E]H?@07""G)Q0""0",62229505000180,SIM,GILBERTO GUIMARAES SILVA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"L?6_;L`Q,P6F5KV`?9U[@.",57513061000170,SIM,CORPO DOURADO CONFECCOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
MZ2X-\.X`=<F:T7IX7=3:$,50371632000130,SIM,TEODORO CARNEIRO DE MOURA MERCEARIA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"GU)U$\16""8F]Y$(2B-XMV)",61401196000110,SIM,BTA DO BRASIL LTDA SC,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B6A0P3;WP;(6]>4WM8._'&",65134140000360,NAO,PRATICA PRODUTOS SA,2054,SOCIEDADE ANONIMA FECHADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
L>)F\*Z;[(3`1\/!6-NOR/,78257706000120,SIM,CELIA PAGANI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
KR=./86?6];2FU[IMLA(R!,67968651000140,SIM,NOVA DE HELLI MOVEIS E DECORACOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F,.U7-YDO/0RR6`)@!WO8*",65508673000100,SIM,R C J & ASSOCIADOS PUBLICIDADE E PROMOCOES LTDA SC,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"BM3\,""H2X-]QE1JO!:]""6'",79477279000230,NAO,BAEPENDI INDUSTRIAL MADEREIRA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
F]%:A%#E2+=/INL$+=5D#$,10149583000170,SIM,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR MG PC DO B,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"D[F,V'`LUHILSV6BSNZUZ/",65793622000160,SIM,M F J CONSTRUCOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"HS3J$`15J(<U0]]1+6;V""!",72697832000110,SIM,ADRIANO ALVES PEREIRA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"I+?SI8LNC_F#1HFD,&NXT,",48087472000150,SIM,MADEREIRA NOVA GASOMETRO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"FD:6'+<T@[S_OTT%Y7$[?0",38789343000150,SIM,JOSE MAURO REIS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
G=V@F5-2#9[/1S]%P^U4E&,37562352000140,SIM,LU OMO DI ROMA COMERCIO DE VESTUARIOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"C""$3+)YC94<R_1KBP19LQ(",49469190000180,SIM,HAMILTON MANOEL FERNANDES DELGADINHO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K/G"">#+#8_^[T;1=6P\VT""",40906281000160,SIM,VERA LUCIA QUEIROZ DE CARVALHO,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"P6+PQM(,_X"")X(WUR@1B>!",33975251000140,SIM,JOSE ALVARO RODRIGUES,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
BF]B%B\-GID?:=.J8<@9)$,36566743000170,SIM,SANDRA NOBRE RODRIGUES ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
