sk_cnae,cnpj_cnae,cod_ordem,cod_ramo,desc_ramo,chave_cnae
"MU-\*>#L%9,@`\G_-$'-U!",10426480000100,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",14
"CQ_4_F""HICD;+/>YH1%Y%-",12813369000100,0,4711301,COMERCIO VAREJISTA DE CARNES  ACOUGUES,47
AT1WXMS2\QU9D^>8P.U27#,15617315000150,0,4712100,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",47
D!AUUDMB?%=&0H4HS:A-`$,97530904000160,0,1091101,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,10
"E2ZFHQ+#1T2""&<;G^1D\Y&",14384185000190,0,4399103,OBRAS DE ALVENARIA,43
"BAS=AJ1.[FCY04'L),_#(#",14952354000140,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
H`?9#*[4QF[/*;=EM%5((!,33379330000350,0,9521500,REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO,95
"OC7.63>JQQ.X.[;FJ!E#G""",02077222000480,0,4751200,COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA,47
"L&4)%-@YE]]%>&P@^/=>2,",02594613000120,0,4541205,COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS,45
"O6@^'6""/RV,01Z^6`>)5L.",05809295001480,0,7020400,ADMINISTRACAO DE CAIXAS ESCOLARES,70
"DW>85MXG[$*Z]_'[=&*K])",87479937000170,0,4742300,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,47
"IZ'C]T.!67\U(%7E3P7[6/",03448209000100,0,4110700,INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS,41
"OA[T3`FG'^H58$UEAOE+""(",02451604000180,0,4330401,IMPERMEABILIZACAO EM OBRAS DE ENGENHARIA CIVIL,43
"GMD\:N-(J]&.XR1`""1H,B%",06627368000160,0,162899,ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE,1
"IBM'B<24(:MY5<[?2OH0%#",03765657000480,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,94
"ORO_Z:T""D./?T*MD#UJ7V+",12934152000140,0,4782201,COMERCIO VAREJISTA DE CALCADOS,47
M:7(;4#@@2#9Q)_?J:/>/*,55024475000100,0,4711301,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS",47
"IGW1%""H'&/I6\PW@D2TSH!",83031799000100,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"C'T6T92TOX!<%0GA+K]J.(",13303883000150,0,1412603,"FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS",14
"C\""F9]?B[[U.SI@]0B4L_""",06031126000100,0,4618499,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,46
"PD+!K\[MN8F^O,RUI6.NV!",15326679000180,0,4752100,COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,47
KY(!69FO_9;TPYYD7KQ)E&,00663416000190,0,8593700,ENSINO DE IDIOMAS,85
"J_87""A8EV%%FGI%]GLU8`.",16943744000180,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"HS3;O""BNOV;:K2]3:?I0<!",16951058000150,0,6319400,"PORTAIS, PROVEDORES DE CONTEUDO E OUTROS SERVICOS DE INFORMACAO NA INTERNET",63
"HO&?&)!:R_\OU9KPK!Y\4""",15343493000130,0,4772500,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
N0+5W-EG]A/-7]FTA.6;C#,06199691000180,0,8219901,FOTOCOPIAS,82
I@%XN5?1JFA!QY<$$UU8H&,07150564000150,0,9602501,"CABELEIREIROS, MANICURE E PEDICURE",96
"I+:;*V<1K`ID2H19'G%BD""",13292374000170,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
N8=ULQ:@VFXQ-NY0%A*&8+,11895142000180,0,6821801,"ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA",68
"L$D/?*JW8()#'XGQNS#[2/",83673616000150,0,4753900,COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE,47
"L""[H)4=I`/3*5BT1%N]Y(.",11238504000160,0,4772500,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"BV$EBM8K'?1I0Q#.+M<I\/",07143397000110,0,4763601,COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM,47
JJBB[S`A17CMK9711Z!T&0,03797243000190,0,2071100,"FABRICACAO DE TINTAS, VERNIZES, ESMALTES E LACAS",20
"M>?F,6@31F*:G@BHSI\*X!",07390948000140,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
"C!CV6XQ&>2M)+H2P[M'?O0",95046660000110,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
PZ6@`$V78S`6V-FD`!0Y9*,05075477000150,0,9329899,OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE,93
AGIJNIN?`&2M/G)49UE30!,15813897000140,0,4692300,ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE,46
"L'E=Y+4H6^`O,Y6Z<_R7"".",05928629000110,0,5320202,SERVICOS DE ENTREGA RAPIDA,53
"B9[`>IYCEQ""+$?]Q#74!G%",00723401000170,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"A;H9++\K-PD4^Q@2L?KK`'",30005284000170,0,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,47
H3OX6;(FQ#\:-?6KJ[8K=&,94708328000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"O3-E0,-\(8D=&!VC9>/H6!",06283313000180,0,5510803,MOTEIS,55
F+8JO*K5)T+%I)J3DTTL).,04501161000110,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
BQE0-:G;./ZDU!-QU4P`X.,03794316000190,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
GTWX]%;;!A[/=!FU]S>/C(,13225090000160,0,4712100,COMERCIO VAREJISTA DE CARNES  ACOUGUES,47
"F(F)=*^@[D/Q$F9L,8![U""",05691708000150,0,4120400,CONSTRUCAO DE EDIFICIOS,41
"LD($K\S6<N!@A""P`_/A:^&",05373673000100,0,4757100,"COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO",47
"D.,/C?8QA:Y]-.*.C?#.%$",13186802000180,0,5611202,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,56
O]]<L`QN<_T6>3?L`T3P40,01154237000270,0,8640206,ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA NAO ESPECIFICADAS ANTERIORMENTE,86
"L^?>G""4C^,R1ZC+0@KAD3.",04125393000110,0,2539001,"SERVICOS DE USINAGEM, TORNEARIA E SOLDA",25
"POSN$HPEXQX\S\4*\N70'!",04817351000140,0,4744001,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,47
K)^![@!P?C9:U7Y^`LV`5-,14695371000140,0,4120400,CONSTRUCAO DE EDIFICIOS,41
"G!]\=;`P-8UZYY<,J.<EF,",54667761000120,0,4755501,COMERCIO VAREJISTA DE TECIDOS,47
"J+8>-%,U(Z,.7K>*(]<6=.",84716471000190,0,9329804,EXPLORACAO DE JOGOS ELETRONICOS RECREATIVOS,93
"L2RUU""OD33L/&042UF8QQ,",07394828000110,0,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,47
DAJY^EYGQ=G5GG6Q;SJ=*$,06866207000120,0,4755501,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",47
"M&L>SX3GF9MO""NBF-_T;%#",13361822000140,0,7810800,FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS,78
"G'*^/KCT^K5YEB%KVW$NK.",10435062000180,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",14
"K^B9[*'3+5PP;8FT+@6?$/",03745956000100,0,4755501,COMERCIO VAREJISTA DE TECIDOS,47
K/_;]=T@^MW]U:]&OGH?>0,10875660000170,0,5611201,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
"DW5-E5=9[K@5.<`53L\T;,",12647242000150,0,4771701,"COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS",47
"P1PTVDR7-+3@N-4.91SQC'",05122840000140,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"E!WB'F8X_HW5@&8><QZE:!",07455133000100,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
AY!**HR9A4OX)O6W/F3TA.,05393508000200,0,4623102,"COMERCIO ATACADISTA DE COUROS, LAS, PELES E OUTROS SUBPRODUTOS NAOCOMESTIVEIS DE ORIGEM ANIMAL",46
"M5H?S56Z,F<AD%'H$)X%8*",11640666000120,0,9602501,"CABELEIREIROS, MANICURE E PEDICURE",96
"O4""'`.WR9^58_[=)IM@82""",80897291000100,0,8112500,CONDOMINIOS PREDIAIS,81
"OQE`=@L=>Q,L`8S-CPO5'0",65300725000140,0,4924800,"ORGANIZACAO DE EXCURSOES EM VEICULOS RODOVIARIOS PROPRIOS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",49
JZ=*6H-J10/-@WB9Z_DQ(#,04550345000170,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
D`\X`9U&AO%*J+\FQZ0U0!,90400888135820,0,6422100,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL",64
"E2)9HQ""Z4#JCS5OT*V[X]/",03010504000180,0,1359600,FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE,13
"NYFJ$,"")""JK&\LK`D?U%Y$",52609492000110,0,8130300,ATIVIDADES PAISAGISTICAS,81
"P^[U.>9L<28G6M`""5&W""?""",13031077000170,0,2539002,SERVICOS DE TRATAMENTO E REVESTIMENTO EM METAIS,25
"P)(4Z*KPV^LHNS?3\#+7""/",24369506000130,0,9521500,REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO,95
FD)!EA*W2/;)#VTHUX)C(0,10871285000190,0,3329501,SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL,33
"D#=EFRW&U4\;NN4,%&`^Q(",14115344000150,0,4712100,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP,47
"K]A!/J@^4G0LR4)""IRUKJ0",06267441000130,0,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,47
"GXMH%_/V$@P""XT</7X-WL.",11334269000120,0,9609206,SERVICOS DE TATUAGEM E COLOCACAO DE PIERCING,96
H)6=$=3NXAUK:13F_9[(##,01998411000180,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
"L&(/FH5T'S`:FC^5EG-J9*",10391475000100,0,4683400,"COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS, ADUBOS, FERTILIZANTES E CORRETIVOS DO SOLO",46
"K65>-YQ6<]5/<DF.SD6<2""",04745769000190,0,9602501,"CABELEIREIROS, MANICURE E PEDICURE",96
"L3:::""I7[]W5630F!@-0R*",14046884000120,0,4723700,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"O8C,1%"",7PMMBKC,1`UG0#",08705925000140,0,9420100,ATIVIDADES DE ORGANIZACOES SINDICAIS,94
"F;1J\,K@IVE(W^MH\8H>\'",12304442000100,0,4744004,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,47
"A35I)BP'""^:?1NDR'1\,B0",03468033000230,0,4530705,COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR,45
"M/$.388WP-""<**7`NC%&F)",74149352000140,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
D>3(@HD*=64FVVS12IT@$.,12392892000100,0,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,47
"FN'YTYY2T[,O.CPQ_<,SO'",10618339000100,0,4930202,"TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",49
P^0[&*YPD()!^HZ7<.[N2-,13037257000160,0,4721103,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,47
KF6!Y<FO9/*<VG[##LR\X*,10276705000190,0,8610102,ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES,86
"D#):W:_^_5L0.\$$C""H.$$",13000626000140,0,2512800,FABRICACAO DE ESQUADRIAS DE METAL,25
"C?&'C+][]O1W#:RQ!U#B0*",13180232000110,0,3314707,MANUTENCAO E REPARACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL,33
"G""';Z>=R1E;CZ-<EC7H.(!",12141294000150,0,4321500,INSTALACAO E MANUTENCAO ELETRICA,43
"B&$'UN.D@>$H6>\E_O:.:.",13597931000160,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"E++RM[A``(,/&ZGBD?.P""/",11087610000190,0,6920601,ATIVIDADES DE CONTABILIDADE,69
"M`=AL.!ZF(""WH;ZO^>JOB$",13067057000150,0,7020400,"ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA",70
"I<?<>>--))1(T:4`J'D.Q/",15699963000100,0,9602501,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,96
KY..QI@>6!MUBQT4.&[#;*,09657718000200,0,113000,CULTIVO DE CANADEACUCAR,1
H+C-2R6A)`Y%SF#Y6WYMD.,15736210000110,0,1412601,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,14
"N%M9SLA""2[D$ST<9FDFZO-",14009215000340,0,210101,CULTIVO DE EUCALIPTO,2
"D\T*2#P:A-F'W'@UG6@<F0",08098763000390,0,131800,CULTIVO DE LARANJA,1
"H3)1FCFJ%C:'&O3#(M&[E&",08253253001070,0,113000,CULTIVO DE CANADEACUCAR,1
G?Q`H$#G\CI^06;++^4J5),15258006000130,0,9602501,"CABELEIREIROS, MANICURE E PEDICURE",96
"H<F`,]4>5SR?_L5&Z,AVY.",05731803000130,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"MXP6*A9NF7H;650""HVEP6,",13304288000130,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
IL&M\J*W$-0Y@FQ3?Y$?&-,30209985000120,0,4120400,CONSTRUCAO DE EDIFICIOS,41
"E5.N!,!R_)4-:O2(/3F'A!",12419949000100,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
"HXQ'1*,&\:%'*R+1N'71%)",10731159000130,0,7490199,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE",74
"M]HK'^6`19C(@U<!S""1.E0",02443747000220,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"CQN9NS@7^U5""C>CI5\B7\-",94286598000170,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
F/0;<T`I$:@E]9C0QQ<$U$,21555198000140,0,4755501,COMERCIO VAREJISTA DE TECIDOS,47
"PO6C?]9>LRS85'=,6-\?W(",15724160000150,0,5320202,SERVICOS DE ENTREGA RAPIDA,53
"O4AI""W]DWR)R2%ZP$AB!7.",07649207000130,0,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,47
"I4J,KA)2`9@W?G;_E^&-U$",12435453000120,0,9602501,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,96
"O$:6D(,CA=57Y2W1(+$,J+",11882899000130,0,7911200,AGENCIAS DE VIAGENS,79
"K>2@-$3O<!_Q#5U;\[""$[0",04162614000120,0,4744005,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,47
"P:<,`>@B2WUIIFZW)^\\.#",08412342000120,0,119906,CRIACAO DE BOVINOS PARA CORTE,1
"B2].>!5+:(]&Y2$/(6DN2,",12688295000110,0,4930201,"TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL",49
"N2_WYT]#@1DK,2VJIA&!?#",14135955000160,0,5611201,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
"FF/?:BO3Y2!X)L3/+'(?O-",15273852000120,0,4321500,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,43
IK@KB9!;2GW_I^QM.Z^J:!,12968941000100,0,6821801,CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS,68
G+06TETU<.GAHI#4H<S#V!,11067994000180,0,4520005,COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES,45
"P;2P*&&Y[)S1""9DD0%8)1(",01702985000160,0,6399200,"AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS",63
EUB85CI>(GU=<7:75HXFZ0,14546803000150,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"D0>)M:B@YG16>JA<0,6FZ)",15763353000110,0,4321500,INSTALACAO E MANUTENCAO ELETRICA,43
"P&LU_J2=#'E*=*_+P!UB2.",06929336000110,0,8219901,FOTOCOPIAS,82
"IGZ.L-_3V?>GV5-;W)6E,(",12304400000170,0,4763603,"COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS, PECAS E ACESSORIOS",47
"J_ERY)FME_?'1T]8@G8X$,",93982387000100,0,1053800,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",10
"KYO7I6,=[]H=$7_H_X`!""(",13276745000120,0,8230001,"SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS",82
B9J$:B!K3FZ?.;.<2;0/X%,15344536000100,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
JWROB\$4N`HD:)FO&G_J4/,14580059000100,0,4721104,"COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",47
"E-U""9=&(W3DATZ'%%`-AQ*",14796102000170,0,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,47
J(KP6HG-*WA?A?B6TD_W.0,15777785000180,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"M(]!*,&=_-(++JHG/XQ)&#",15772862000100,0,4520002,COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES,45
H8T_(X).XY(E_%ZW;![>=),15067056000130,0,3314711,"COMERCIO ATACADISTA DE MAQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUARIO, PARTES E PECAS",33
D(+6ORK/KAF3(YB83(!43(,15070043000110,0,8211300,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO,82
"L>TAEC#1I'&!\2Q_-WLVB/",16733881000190,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"OHYE,?A%P<&'-FYTN=7TG)",13974453000160,0,4713002,COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS,47
"E`!Y:5&3<F""7+CVMD_-)X'",01961285000190,0,1412601,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",14
BCK4I*A=BN]VX-%MWE68^/,01105719000150,0,161001,ATIVIDADES DE APOIO A AGRICULTURA NAO ESPECIFICADAS ANTERIORMENTE,1
F2.W=KK/SG3@M_C!^L$N:.,14413130000160,0,9602501,"CABELEIREIROS, MANICURE E PEDICURE",96
"L/M!?;Z@B.=G,&NWI8V<6-",06196227000130,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
"OK9_5:4*0Q$/O<F<&(Z='&",15391025000130,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"MB+6\,0VWM$]--25?;Y@N(",07358621000190,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
G8UJ]YC5S?<;F#R0%%)AL#,16970341000120,0,6911701,SERVICOS ADVOCATICIOS,69
"N'$=21/.AY]GX(7)8:99M%",11189509000140,0,4930201,"TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",49
"NZU6,9\WE.-_YU%-R,5'6!",14037425000180,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM,47
K`X#7WM3;O]5\_!FB44W0/,13310158000100,0,5611201,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,56
J7ET+X4ASW\`73K?`GBN^+,10902191000130,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"M3<MW&N9#1UPY:,!6>L:O0",12429513000100,0,5912001,"ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE",59
HR`+.YVVLOEAH:QDQ9%G0!,12161254000170,0,5819100,"EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS",58
"ITQB'1U)&EZYSG4O')`-X%",71027692000100,0,6810202,ALUGUEL DE IMOVEIS PROPRIOS,68
"M4.8FR%DPP&Q-M4?-OBV@""",15381137000100,0,4614100,CONSULTORIA EM TECNOLOGIA DA INFORMACAO,46
"KRO""QE;%PM6@F?$;8_U0./",09366249000190,0,8513900,ENSINO FUNDAMENTAL,85
"E$\-U8F'U9VP""EP>&`4=5.",49756836000100,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
L^PW>:+]R0IV72ARU^6WH!,20332748000280,0,6399200,"AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS",63
AG>)A#^2M%LE:J=Y/#S0P/,05871403000120,0,1813099,IMPRESSAO DE MATERIAL PARA OUTROS USOS,18
"NG!Q(OX]8W._X:W_5[4D>""",07457113000160,0,8112500,CONDOMINIOS PREDIAIS,81
"AO:\V/`(K'4$K4PY/'4R""!",15865767000150,0,4763602,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"O0U5.`$1*G!O.6""<C'XMZ-",15870732000100,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"L#`HDLB*_*'ZZ)Q>;?#'1#",10444534000160,0,8112500,CONDOMINIOS PREDIAIS,81
F*+Z.@2D&:^*:]8`DE^)50,08439030000100,0,4744004,"COMERCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS",47
"HV>)`H?%O1984'6:GT!6O#",08524911000120,0,210101,CULTIVO DE EUCALIPTO,2
"C#&>>T3?9.-A/L91^5X'6!",08806157000110,0,8211300,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO,82
H$%XWEN?:Y&/D&V#^T+<](,09180273000130,0,111302,CRIACAO DE BOVINOS PARA CORTE,1
G?O2:P.T*PRM#_H8TKIS@+,07426965000190,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"DR[R!7ZP7!O,U<I263&)[$",08769760000170,0,7020400,"ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA",70
N`^C%4/Q#Z5!184:D(G9M+,09443609000100,0,8112500,CONDOMINIOS PREDIAIS,81
"EP1`-]57""Z3Y20^I-L12-'",07634596000120,0,4921301,TRANSPORTE ESCOLAR,49
"PY6'H+`S!5#%)MJ/)W*,T(",15843090000150,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"P+#D!R9T&RL4:H`BW<S='0",11630785000100,0,151201,CRIACAO DE BOVINOS PARA CORTE,1
"N'V#:N>%__#93Y[_V-IZ$+",06325408000110,0,2511000,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,25
"P1DIC&.REI<U,]U0TI;!)*",13964935000130,0,1629301,"FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MOVEIS",16
LUX\^KYG3Q-:]6\F<#Y17),13888596000150,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"LOB%N7E0<\+-(NTX:'""Q?.",06259564000120,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE OPTICA,47
"F9FSCT^7V9&(?(9+,!K/5""",11210852000120,0,4723700,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,47
KLWT^)L_I:Y@[W=QN=V*%$,00398129000280,0,4753900,COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,47
MP_[JC]%7<7?WF8PY*&_W(,00777622000120,0,1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,10
"B#?=CCWAS\Z7G:)4H""1_//",15829744000190,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"CQ./?;7""H=`9*?`X[!33:#",00497178000190,0,4743100,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
